frankfurter,sausage,liver loaf,ham,chicken,beef,citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,beverages,soft cheese,hard cheese,cream cheese,mayonnaise,domestic eggs,rolls/buns,roll products,flour,pasta,margarine,specialty fat,sugar,soups,skin care,hygiene articles,candles
sausage,tropical fruit,root vegetables,other vegetables,whole milk,frozen vegetables,domestic eggs,flour,margarine,sugar,ketchup,baking powder,canned vegetables,bottled water,cooking chocolate,newspapers,,,,,,,,,,,,,,,,
sausage,chicken,tropical fruit,berries,root vegetables,onions,whole milk,butter,yogurt,hard cheese,domestic eggs,vinegar,spices,long life bakery product,dish cleaner,newspapers,,,,,,,,,,,,,,,,
pork,root vegetables,other vegetables,beverages,rolls/buns,pastry,sauces,bottled water,soda,red/blush wine,sparkling wine,chocolate,specialty chocolate,candy,napkins,newspapers,,,,,,,,,,,,,,,,
citrus fruit,other vegetables,whole milk,curd,yogurt,whipped/sour cream,cream cheese,pastry,vinegar,oil,coffee,long life bakery product,detergent,cleaner,napkins,newspapers,,,,,,,,,,,,,,,,
frankfurter,chicken,pork,citrus fruit,tropical fruit,pip fruit,root vegetables,herbs,other vegetables,whole milk,butter milk,beverages,sliced cheese,frozen vegetables,roll products,pasta,,,,,,,,,,,,,,,,
turkey,tropical fruit,whole milk,yogurt,beverages,hard cheese,cream cheese,brown bread,baking powder,dog food,bottled water,soda,fruit/vegetable juice,canned beer,detergent,potted plants,,,,,,,,,,,,,,,,
chicken,turkey,citrus fruit,tropical fruit,berries,onions,whole milk,yogurt,whipped/sour cream,rolls/buns,pastry,margarine,cat food,soda,kitchen utensil,potted plants,,,,,,,,,,,,,,,,
frankfurter,pork,pip fruit,other vegetables,hard cheese,frozen meals,frozen dessert,pastry,semi-finished bread,sugar,soda,salty snack,specialty chocolate,specialty bar,candy,seasonal products,,,,,,,,,,,,,,,,
frankfurter,pork,tropical fruit,pip fruit,other vegetables,whole milk,dessert,whipped/sour cream,cream cheese,frozen meals,cat food,salty snack,cake bar,chewing gum,specialty bar,seasonal products,,,,,,,,,,,,,,,,
pork,root vegetables,other vegetables,dessert,condensed milk,hard cheese,specialty cheese,frozen vegetables,ice cream,pickled vegetables,canned fish,cat food,salty snack,nut snack,waffles,seasonal products,,,,,,,,,,,,,,,,
sausage,citrus fruit,tropical fruit,grapes,other vegetables,packaged fruit/vegetables,butter,curd,butter milk,yogurt,brown bread,flour,fruit/vegetable juice,waffles,candy,shopping bags,,,,,,,,,,,,,,,,
frankfurter,chicken,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,yogurt,domestic eggs,rolls/buns,pastry,oil,bottled water,soda,canned beer,shopping bags,,,,,,,,,,,,,,,,
beef,tropical fruit,root vegetables,other vegetables,yogurt,condensed milk,sliced cheese,specialty cheese,mayonnaise,cat food,liquor,salty snack,nut snack,napkins,dishes,shopping bags,,,,,,,,,,,,,,,,
other vegetables,cream cheese,frozen fruits,frozen fish,domestic eggs,rolls/buns,margarine,cereals,pickled vegetables,canned fish,dog food,salty snack,specialty chocolate,dental care,kitchen towels,shopping bags,,,,,,,,,,,,,,,,
ham,turkey,tropical fruit,whole milk,butter,frozen meals,pastry,roll products,semi-finished bread,cat food,soda,waffles,cake bar,specialty chocolate,kitchen towels,shopping bags,,,,,,,,,,,,,,,,
frankfurter,sausage,chicken,pork,tropical fruit,pip fruit,root vegetables,whole milk,dessert,cream cheese,frozen vegetables,rolls/buns,white bread,cake bar,napkins,shopping bags,,,,,,,,,,,,,,,,
frankfurter,citrus fruit,pip fruit,dessert,butter milk,frozen vegetables,frozen meals,domestic eggs,white bread,brown bread,pastry,soda,salty snack,long life bakery product,napkins,shopping bags,,,,,,,,,,,,,,,,
other vegetables,yogurt,soft cheese,domestic eggs,brown bread,roll products,cat food,coffee,bottled water,canned beer,specialty chocolate,specialty bar,detergent,softener,napkins,shopping bags,,,,,,,,,,,,,,,,
tropical fruit,root vegetables,other vegetables,butter,dessert,sliced cheese,frozen vegetables,ice cream,frozen dessert,rolls/buns,Instant food products,baking powder,canned fish,fruit/vegetable juice,newspapers,shopping bags,,,,,,,,,,,,,,,,
ham,pork,whole milk,yogurt,hard cheese,spread cheese,rolls/buns,white bread,brown bread,pastry,chocolate,abrasive cleaner,dental care,napkins,newspapers,shopping bags,,,,,,,,,,,,,,,,
finished products,citrus fruit,tropical fruit,grapes,berries,root vegetables,other vegetables,whole milk,spread cheese,brown bread,pastry,potato products,fruit/vegetable juice,chocolate,potted plants,shopping bags,,,,,,,,,,,,,,,,
beef,root vegetables,herbs,packaged fruit/vegetables,whipped/sour cream,cream cheese,vinegar,oil,margarine,soups,pickled vegetables,meat spreads,canned fish,fruit/vegetable juice,candles,,,,,,,,,,,,,,,,,
hamburger meat,pip fruit,other vegetables,butter,cream cheese,mayonnaise,domestic eggs,pastry,rice,margarine,canned fruit,canned fish,coffee,tea,candles,,,,,,,,,,,,,,,,,
frankfurter,whole milk,yogurt,processed cheese,ice cream,frozen dessert,rolls/buns,white bread,brown bread,sugar,coffee,bottled water,soda,bottled beer,candy,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,pip fruit,root vegetables,packaged fruit/vegetables,dessert,yogurt,UHT-milk,hard cheese,mayonnaise,domestic eggs,spices,canned vegetables,fruit/vegetable juice,candy,,,,,,,,,,,,,,,,,
frankfurter,yogurt,frozen fish,ice cream,frozen potato products,pastry,margarine,canned fish,soda,bottled beer,salty snack,nut snack,long life bakery product,specialty bar,candy,,,,,,,,,,,,,,,,,
chicken,packaged fruit/vegetables,whole milk,curd,whipped/sour cream,frozen vegetables,frozen dessert,rolls/buns,white bread,brown bread,margarine,soda,long life bakery product,specialty chocolate,candy,,,,,,,,,,,,,,,,,
sausage,turkey,tropical fruit,grapes,other vegetables,whole milk,curd,yogurt,semi-finished bread,spices,baking powder,cat food,bottled water,long life bakery product,chocolate,,,,,,,,,,,,,,,,,
ham,beef,tropical fruit,pip fruit,other vegetables,whole milk,dessert,yogurt,whipped/sour cream,soft cheese,frozen potato products,rolls/buns,soda,long life bakery product,chocolate,,,,,,,,,,,,,,,,,
citrus fruit,grapes,whipped/sour cream,flour,margarine,sugar,soups,baking powder,long life bakery product,waffles,chocolate,specialty bar,dish cleaner,female sanitary products,cling film/bags,,,,,,,,,,,,,,,,,
ham,berries,onions,whole milk,butter milk,yogurt,whipped/sour cream,cream cheese,mayonnaise,pastry,semi-finished bread,chocolate,specialty chocolate,hygiene articles,cling film/bags,,,,,,,,,,,,,,,,,
chicken,beef,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,domestic eggs,pastry,canned vegetables,pickled vegetables,coffee,soda,canned beer,cookware,,,,,,,,,,,,,,,,,
frankfurter,hamburger meat,whole milk,butter,curd,flour,rice,oil,sugar,mustard,salty snack,chocolate,chocolate marshmallow,dish cleaner,dental care,,,,,,,,,,,,,,,,,
sausage,chicken,beef,citrus fruit,tropical fruit,root vegetables,onions,herbs,other vegetables,whole milk,butter,curd,yogurt,frozen meals,domestic eggs,,,,,,,,,,,,,,,,,
chicken,beef,hamburger meat,pip fruit,grapes,root vegetables,whole milk,butter,dessert,yogurt,whipped/sour cream,cream cheese,pastry,bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,
chicken,tropical fruit,onions,other vegetables,butter milk,yogurt,beverages,sliced cheese,hard cheese,rolls/buns,pastry,cereals,chocolate,napkins,house keeping products,,,,,,,,,,,,,,,,,
beef,citrus fruit,onions,herbs,other vegetables,whole milk,yogurt,whipped/sour cream,specialty cheese,brown bread,canned vegetables,bottled water,dish cleaner,abrasive cleaner,hygiene articles,,,,,,,,,,,,,,,,,
hamburger meat,citrus fruit,herbs,other vegetables,whole milk,butter,domestic eggs,pasta,Instant food products,canned fruit,pickled vegetables,bottled water,misc. beverages,bottled beer,hygiene articles,,,,,,,,,,,,,,,,,
frankfurter,citrus fruit,tropical fruit,pip fruit,other vegetables,whole milk,curd,yogurt,whipped/sour cream,domestic eggs,sugar,bottled water,salty snack,candy,hygiene articles,,,,,,,,,,,,,,,,,
frankfurter,sausage,citrus fruit,tropical fruit,pip fruit,whole milk,hard cheese,cream cheese,domestic eggs,rice,sugar,canned fruit,misc. beverages,fruit/vegetable juice,hygiene articles,,,,,,,,,,,,,,,,,
sausage,citrus fruit,pip fruit,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,spread cheese,frozen vegetables,pastry,instant coffee,soda,fruit/vegetable juice,hygiene articles,,,,,,,,,,,,,,,,,
ham,pork,hamburger meat,pip fruit,other vegetables,whole milk,butter,curd,dessert,butter milk,whipped/sour cream,domestic eggs,brown bread,roll products,hygiene articles,,,,,,,,,,,,,,,,,
sausage,ham,citrus fruit,grapes,berries,butter milk,frozen meals,domestic eggs,cat food,coffee,bottled water,soda,fruit/vegetable juice,waffles,hygiene articles,,,,,,,,,,,,,,,,,
chicken,beef,whole milk,curd,brown bread,pastry,sauces,pickled vegetables,bottled water,soda,salty snack,waffles,specialty bar,napkins,light bulbs,,,,,,,,,,,,,,,,,
chicken,berries,root vegetables,other vegetables,whole milk,butter,curd,condensed milk,rolls/buns,white bread,brown bread,oil,baking powder,salty snack,long life bakery product,,,,,,,,,,,,,,,,,
ham,root vegetables,onions,other vegetables,whole milk,whipped/sour cream,soft cheese,sliced cheese,hard cheese,cream cheese,specialty cheese,domestic eggs,salt,canned fish,napkins,,,,,,,,,,,,,,,,,
onions,dessert,yogurt,domestic eggs,rolls/buns,brown bread,pastry,cat food,bottled water,soda,fruit/vegetable juice,long life bakery product,chocolate,female sanitary products,napkins,,,,,,,,,,,,,,,,,
turkey,citrus fruit,tropical fruit,grapes,root vegetables,onions,other vegetables,rolls/buns,brown bread,pastry,pickled vegetables,jam,cat food,fruit/vegetable juice,napkins,,,,,,,,,,,,,,,,,
tropical fruit,nuts/prunes,whole milk,cream cheese,domestic eggs,rolls/buns,white bread,flour,margarine,cat food,bottled water,bottled beer,softener,hygiene articles,napkins,,,,,,,,,,,,,,,,,
hamburger meat,pip fruit,root vegetables,other vegetables,whole milk,curd,domestic eggs,salt,vinegar,oil,margarine,spices,coffee,bottled beer,newspapers,,,,,,,,,,,,,,,,,
frankfurter,sausage,pork,beef,hamburger meat,tropical fruit,root vegetables,whole milk,yogurt,spread cheese,rolls/buns,pastry,bottled beer,canned beer,newspapers,,,,,,,,,,,,,,,,,
sausage,chicken,berries,root vegetables,other vegetables,butter milk,rolls/buns,salt,mustard,canned fish,coffee,bottled water,fruit/vegetable juice,cling film/bags,newspapers,,,,,,,,,,,,,,,,,
pork,tropical fruit,whole milk,butter,dessert,yogurt,frozen vegetables,frozen meals,frozen chicken,coffee,fruit/vegetable juice,chocolate,dental care,kitchen towels,newspapers,,,,,,,,,,,,,,,,,
meat,turkey,hamburger meat,citrus fruit,pip fruit,whole milk,butter,yogurt,specialty cheese,rolls/buns,brown bread,Instant food products,bottled beer,specialty chocolate,newspapers,,,,,,,,,,,,,,,,,
tropical fruit,pip fruit,grapes,ice cream,frozen potato products,rolls/buns,pastry,soda,misc. beverages,salty snack,long life bakery product,chewing gum,specialty bar,napkins,photo/film,,,,,,,,,,,,,,,,,
beef,citrus fruit,root vegetables,other vegetables,whole milk,yogurt,domestic eggs,pastry,semi-finished bread,salt,sugar,sweet spreads,soda,fruit/vegetable juice,red/blush wine,,,,,,,,,,,,,,,,,
sausage,meat,berries,onions,other vegetables,soft cheese,hard cheese,cream cheese,mayonnaise,frozen meals,domestic eggs,rolls/buns,mustard,canned fish,shopping bags,,,,,,,,,,,,,,,,,
sausage,chicken,tropical fruit,onions,other vegetables,dessert,whipped/sour cream,UHT-milk,cream cheese,pastry,bottled water,soda,waffles,chewing gum,shopping bags,,,,,,,,,,,,,,,,,
other vegetables,whole milk,butter milk,yogurt,cream cheese,domestic eggs,rolls/buns,brown bread,soda,fruit/vegetable juice,canned beer,red/blush wine,long life bakery product,chocolate,shopping bags,,,,,,,,,,,,,,,,,
ham,hamburger meat,whole milk,processed cheese,white bread,potato products,artif. sweetener,instant coffee,bottled water,soda,fruit/vegetable juice,salty snack,specialty bar,detergent,shopping bags,,,,,,,,,,,,,,,,,
frankfurter,meat,beef,citrus fruit,berries,root vegetables,packaged fruit/vegetables,whole milk,whipped/sour cream,frozen vegetables,rolls/buns,canned fruit,house keeping products,flower (seeds),shopping bags,,,,,,,,,,,,,,,,,
chicken,pork,hamburger meat,pip fruit,nuts/prunes,root vegetables,other vegetables,whole milk,spread cheese,frozen potato products,brown bread,Instant food products,soda,fruit/vegetable juice,shopping bags,,,,,,,,,,,,,,,,,
root vegetables,whole milk,hard cheese,domestic eggs,zwieback,rice,mustard,organic products,pickled vegetables,cat food,coffee,fruit/vegetable juice,cleaner,napkins,shopping bags,,,,,,,,,,,,,,,,,
sausage,tropical fruit,whole milk,processed cheese,frozen vegetables,domestic eggs,rolls/buns,white bread,rice,soda,detergent,softener,decalcifier,napkins,shopping bags,,,,,,,,,,,,,,,,,
frankfurter,tropical fruit,berries,whole milk,dessert,yogurt,whipped/sour cream,domestic eggs,pasta,specialty vegetables,sweet spreads,soda,long life bakery product,napkins,shopping bags,,,,,,,,,,,,,,,,,
sausage,liver loaf,ham,pip fruit,yogurt,soft cheese,sliced cheese,rolls/buns,white bread,brown bread,pastry,soda,canned beer,newspapers,shopping bags,,,,,,,,,,,,,,,,,
ham,beef,grapes,yogurt,whipped/sour cream,domestic eggs,white bread,pastry,bottled water,fruit/vegetable juice,white wine,salty snack,chocolate,newspapers,shopping bags,,,,,,,,,,,,,,,,,
frankfurter,meat,root vegetables,onions,other vegetables,whole milk,yogurt,UHT-milk,rolls/buns,oil,mustard,canned fish,coffee,newspapers,shopping bags,,,,,,,,,,,,,,,,,
chicken,citrus fruit,root vegetables,other vegetables,beverages,ice cream,rice,Instant food products,sweet spreads,canned fish,soda,fruit/vegetable juice,red/blush wine,newspapers,shopping bags,,,,,,,,,,,,,,,,,
other vegetables,whole milk,dessert,sliced cheese,hard cheese,cream cheese,pastry,margarine,sugar,ready soups,bottled water,soda,salty snack,newspapers,shopping bags,,,,,,,,,,,,,,,,,
hamburger meat,whole milk,ice cream,domestic eggs,white bread,pastry,margarine,sweet spreads,soda,fruit/vegetable juice,syrup,red/blush wine,salty snack,popcorn,shopping bags,,,,,,,,,,,,,,,,,
frankfurter,sausage,onions,other vegetables,curd,dessert,condensed milk,soft cheese,rolls/buns,pastry,potato products,soda,rum,specialty chocolate,shopping bags,,,,,,,,,,,,,,,,,
citrus fruit,pip fruit,root vegetables,other vegetables,butter,UHT-milk,frozen vegetables,pastry,margarine,sugar,soups,soda,bottled beer,long life bakery product,softener,,,,,,,,,,,,,,,,,
beef,tropical fruit,onions,whole milk,butter,yogurt,rolls/buns,brown bread,sauces,canned vegetables,bottled water,fruit/vegetable juice,canned beer,long life bakery product,specialty chocolate,,,,,,,,,,,,,,,,,
sausage,other vegetables,whole milk,yogurt,cream,frozen vegetables,frozen potato products,roll products,rice,cat food,misc. beverages,fruit/vegetable juice,bottled beer,salty snack,specialty chocolate,,,,,,,,,,,,,,,,,
citrus fruit,root vegetables,other vegetables,whole milk,curd,yogurt,whipped/sour cream,hard cheese,cream cheese,domestic eggs,flour,rice,oil,margarine,sugar,,,,,,,,,,,,,,,,,
ham,pip fruit,whole milk,curd,dessert,butter milk,whipped/sour cream,sliced cheese,cream cheese,white bread,coffee,long life bakery product,chocolate,baby cosmetics,,,,,,,,,,,,,,,,,,
meat,turkey,hamburger meat,citrus fruit,root vegetables,herbs,other vegetables,whole milk,curd,yogurt,rolls/buns,pastry,rice,baking powder,,,,,,,,,,,,,,,,,,
frankfurter,chicken,pork,citrus fruit,other vegetables,whole milk,butter milk,whipped/sour cream,cream cheese,frozen dessert,domestic eggs,rolls/buns,sugar,baking powder,,,,,,,,,,,,,,,,,,
frankfurter,hamburger meat,root vegetables,other vegetables,whole milk,curd,sliced cheese,processed cheese,frozen meals,ice cream,domestic eggs,bottled water,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,,,,,
sausage,packaged fruit/vegetables,whole milk,dessert,beverages,frozen vegetables,domestic eggs,brown bread,pastry,margarine,mustard,coffee,soda,bottled beer,,,,,,,,,,,,,,,,,,
sausage,ham,pork,hamburger meat,citrus fruit,whole milk,butter,yogurt,whipped/sour cream,sliced cheese,hard cheese,cream cheese,frozen meals,brown bread,,,,,,,,,,,,,,,,,,
pip fruit,root vegetables,whole milk,butter,curd,yogurt,UHT-milk,specialty cheese,white bread,margarine,cereals,pickled vegetables,coffee,cake bar,,,,,,,,,,,,,,,,,,
meat,pork,fish,tropical fruit,grapes,berries,other vegetables,whole milk,frozen vegetables,semi-finished bread,chocolate,detergent,kitchen utensil,candles,,,,,,,,,,,,,,,,,,
tropical fruit,other vegetables,whole milk,curd,yogurt,frozen vegetables,frozen dessert,rolls/buns,soda,liquor (appetizer),waffles,candy,seasonal products,candles,,,,,,,,,,,,,,,,,,
ham,pork,citrus fruit,pip fruit,root vegetables,other vegetables,butter milk,beverages,sliced cheese,frozen vegetables,frozen fish,oil,margarine,canned vegetables,,,,,,,,,,,,,,,,,,
